CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06,Imobilizado,17709550000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06.01,Imobilizado de Uso,14761853000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06.01,Imobilizado de Uso,28640690000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06.01.01,Valor de Custo do Imobilizado de Uso,28663354000.0,N,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06.03,Depreciação Acumulada,0.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06.03,Depreciação Acumulada,-15618655000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.07,Intangível,12266132000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.07,Intangível,12186009000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.07.03,Amortização Acumulada,0.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.07.03,Amortização Acumulada,-11630146000.0,S,ind
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,70727409000.0,S,con
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1,Ativo Total,68816798000.0,S,ind
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Caixa e Equivalentes de Caixa,267548000.0,S,con
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.01,Caixa e Equivalentes de Caixa,167385000.0,S,ind
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.02,Ativos Financeiros,64743105000.0,S,con
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.02,Ativos Financeiros,62441141000.0,S,ind
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.03,Tributos,1468619000.0,S,con
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.03,Tributos,864338000.0,S,ind
00.000.208/0001-00,2025-03-31,2,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-03-31,1.03.02.03,Depreciação Acumulada,0.0,N,ind
